Default Dataset,
X,Y
0.500375939849624,0.002261011419249592
0.4770676691729323,0.0022618270799347473
0.4541353383458646,0.002264274061990212
0.4342105263157895,0.002272430668841762
0.4176691729323308,0.0022862969004893963
0.41090225563909777,0.0023132137030995106
0.4180451127819549,0.0023401305057096245
0.4342105263157895,0.0023564437194127244
0.4545112781954887,0.002362969004893964
0.4770676691729323,0.002364600326264274
0.5097744360902255,0.0023654159869494294
0.5402255639097744,0.002365415986949429
0.5676691729323308,0.002362153344208809
0.5887218045112782,0.0023507340946166393
0.5992481203007518,0.0023344208809135403
0.6030075187969924,0.0023132137030995106
0.5973684210526315,0.002288743882544861
0.5830827067669173,0.0022748776508972265
0.556766917293233,0.002265089722675367
0.5278195488721804,0.0022618270799347473
