x,y
0.11238921496197223,6.731703824144982
0.14315189499971198,6.552488237367147
0.1808199633210243,6.208243607191253
0.22650222040626905,5.623413251903491
0.28610255691043796,4.913672985920654
0.3583833511185675,4.067944321083047
0.44892512582186056,3.4289112935751356
0.5576693957839359,2.8643840714933795
0.7162629115692787,2.2875732003183957
0.9047357242349298,1.639999629748447
1.1145548582839513,1.1652154917032231
1.4196258964747483,0.827882590628048
1.7931771181279628,0.5573060401273886
2.246204408949094,0.3619043056252011
2.8372561804963556,0.21479850285170085
