Total,,CCDIS,,CC1pi,,CC1p1h,,CC2p2h,,NC,,CCother,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.026567626880986923,0.021429891723121153,0.34299358574578304,-0.0003775529044773851,0.18761754247225013,-0.00015935723838689242,0.025934164493378816,0.025224071916805646,0.025934164493378816,-0.0003048210157804432,0.025934164493378816,0.005259168469526787,0.7667187295276063,-0.0006684804592647087
0.02856237192373002,0.029830424867604677,0.3747265861759766,-0.0003048210157804432,0.20497549843238422,0.0000952043720520157,0.028333535464808764,0.03340640939519868,0.028333535464808764,-0.0003048210157804432,0.028333535464808764,0.006241048966933893,0.8376538338125296,-0.00015935723838689242
0.030706885999415824,0.03827540527740292,0.40939545292598245,-0.0003048210157804432,0.2239393737065852,0.0000952043720520157,0.030830639068169314,0.04181785232298674,0.030954890879192738,-0.0003048210157804432,0.030954890879192738,0.007295661353037941,0.9151516955026539,0.0004952297598845856
0.033145458706420265,0.04697817982602659,0.44727180579005116,-0.0003048210157804432,0.2446577443627505,0.0000952043720520157,0.032485554323513154,0.0472982001362926,0.03381876824136028,-0.0003048210157804432,0.03381876824136028,0.008313907794793463,0.9998194862542917,0.0010770848694592328
0.035777689501954424,0.055698733280776125,0.4886523942190978,-0.0003048210157804432,0.26729293239471447,0.0000952043720520157,0.03846394255325346,0.06100816115564445,0.03694760514021445,-0.0003048210157804432,0.03694760514021445,0.00936852018089751,1.092320551889201,0.0017316718677305998
0.038618957650760045,0.06449929181309211,0.5338614222604054,-0.0003048210157804432,0.29202227746461284,0.0000952043720520157,0.04202254060381289,0.06984508563230885,0.040365915040266154,-0.0003048210157804432,0.040365915040266154,0.010423132567001447,1.1933796095028908,0.0025317226433957396
0.04168586375455368,0.07325540308009348,0.5832530885955581,0.00005883842770371128,0.3190395263040092,0.0004224978711877547,0.045910372197395445,0.07810015499939871,0.04410047933700878,-0.0003048210157804432,0.04410047933700878,0.011405013064408553,1.3037884253977965,0.0035136031408028456
0.04481571311781646,0.08170038348989161,0.637214361577008,0.00016793626074895762,0.3485563506593124,0.003877262584287111,0.050157897286013546,0.08628249247779174,0.048180557180826734,-0.0003048210157804432,0.048180557180826734,0.012495991394861017,1.4244120183261335,0.004531849582558478
0.048374731601687704,0.09050094202220771,0.6961680110048309,0.000604327592929832,0.38080400567411077,0.008350273739141878,0.05479839390840338,0.09450119590053319,0.052638114713343766,-0.0003048210157804432,0.052638114713343766,0.013514237836616538,1.5561954366429338,0.005659193857359357
0.0522163878410988,0.09930150055452369,0.7605759203966906,0.0012225486468528945,0.41603514170133765,0.013368774059222988,0.05986821891311387,0.10271989932327463,0.05750807551220589,-0.0003048210157804432,0.05750807551220589,0.01453248427837217,1.7001711624661475,0.006750172187811709
0.05636312737861115,0.10810205908683979,0.8309427057016244,0.0022044291442600006,0.4545257837402508,0.018714567878439725,0.0654070928031138,0.11086587085731925,0.06282859420645635,-0.0003048210157804432,0.06282859420645635,0.015587096664476108,1.857467200853081,0.007768418629567342
