CC1p1h,,CCDIS,,CC2p2h,,CC1pi,,CCother,,NC,,Total,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.026053976680740287,0.009677395891925622,0.6141677541165714,0.005709497901998484,0.026807667097196543,0.00003185524974536058,0.18890549909629673,0.000580263915019863,0.6654567395081924,-0.0005810720820320636,0.026263784230629056,0.006774055899296139,0.027558589894212872,0.014709851879150193
0.02786978294739835,0.023168249057677448,0.6853175611858677,0.008548319228125267,0.029150094293238345,0.0003867079155110975,0.20632920236723903,0.0014512659128085303,0.7268351579465512,0.0009673759140369498,0.02868622500337364,0.008419281895119424,0.0301004570986058,0.03286540463305965
0.03773997731172466,0.07650260472228165,0.7577902119414767,0.009967729891188437,0.03183875394430792,0.0003867079155110975,0.22535998133013402,0.0014512659128085303,0.7938748162917723,0.0018383779118258392,0.03133209965929078,0.009967729891188437,0.03287677348597834,0.053033939781859774
0.04115485511748132,0.09416458967744434,0.833012878015277,0.01741963587227091,0.03477540218322116,0.0003867079155110975,0.2461460646502375,0.0014512659128085303,0.8670978791433758,0.002902935909123272,0.03422201662799049,0.011419399887503179,0.035909163482384224,0.07229276173296872
0.04495077417307262,0.11197174163223877,0.9264141888053151,0.02700065784794825,0.037982912243366376,0.0003867079155110975,0.26884935286732464,0.0014512659128085303,0.9470746729653284,0.005612719902244212,0.03737848515808554,0.012871069883818143,0.03922124604333647,0.09155158368407812
0.04909680991442234,0.12890789158924432,1.0017680921139782,0.037646237820923245,0.04148626707136583,0.0003867079155110975,0.2936466794213667,0.0014512659128085303,1.034428128296773,0.008903171893891004,0.04082609063927807,0.014419517879887156,0.042838818619280135,0.11090718363494134
0.053625255362496245,0.1457472635464956,1.108890755343126,0.055388871109214755,0.0453127539165268,0.0003867079155110975,0.3207311879889403,0.002999713908877766,1.1298386316901736,0.012871069883818143,0.0445916860952831,0.015774409876447626,0.04679005808912513,0.13006922758629602
0.05857138208582867,0.16248985750399236,1.1950866418179134,0.0702926830713797,0.049492176868255314,0.0003867079155110975,0.34891179476147544,0.02061330986416343,1.2340493251680904,0.017032523873253824,0.04870460133910645,0.01741963587227091,0.05110574022688802,0.1494248275371597
0.06397371492692949,0.17952278546075218,1.3424773797908105,0.09761633833534833,0.054057088996863546,0.0003867079155110975,0.3765362793704122,0.042495890919723056,1.3478718944754808,0.021097199862935012,0.05319687141976482,0.018968083868340146,0.05581947941084496,0.16858687148851437
0.0698743320680878,0.19626537941824918,1.6471405544926463,0.15176685513121413,0.05904304590589,0.0003867079155110975,0.40472158037954903,0.07135724106867714,1.4721928912115894,0.024774763853599113,0.05810348613979456,0.020226197865146345,0.060967990442264176,0.18794247143937803
0.07631919277375222,0.2128144173762374,1.8306017332728326,0.18384553611644505,0.06448888267082419,0.0003867079155110975,0.4298144133937905,0.09442266434345603,1.6079806380838255,0.02738776984696556,0.06346266258701391,0.02187142386096963,0.06659137451299546,0.20720129339048698
0.08335849536223772,0.2279117853379109,2.0128559823633116,0.2111691913804139,0.07043701632128116,0.0003867079155110975,0.4528165652076222,0.11794432675993383,1.7562927710679008,0.02971044184106919,0.06931614280325893,0.02332309385728415,0.07273343154928727,0.22646011534159594
0.09104706819496117,0.2430091532995844,2.3068985265322444,0.25055783728042114,0.0769337762226269,0.0003867079155110975,0.47704971107744387,0.1414406425574284,1.9182844772192864,0.03174277983591001,0.0757095189086024,0.025452209851879237,0.07944200136464326,0.2470738292892658
0.09944479672857881,0.2583000772607664,2.5095910075721224,0.27823634521015594,0.08402976493036064,0.0003867079155110975,0.5005682818321396,0.16521577116373898,2.095217492299411,0.03232344783443586,0.08269258821341305,0.031355667836892476,0.0867693362789209,0.26836498923521557
