x,y
0.11145548582839514,6.378043838892178
0.1419625896474749,6.097562352214592
0.17782794100389238,5.777217924132721
0.22462044089490948,5.232991146814947
0.2837256180496356,5.327978945865641
0.3583833511185675,4.49100718628943
0.44892512582186056,3.4598916608699324
0.5670523941381175,2.6416483203860923
0.710312202259144,1.7623564405717433
0.8972191835758294,1.2748783617709827
1.1145548582839513,0.9821718891880378
1.4078316503919064,0.6435669750977286
1.7782794100389236,0.4613839682733214
2.246204408949094,0.28902639100224503
2.8136842678706895,0.14330125702369628
