theta23,dm31,chi2
43.2801,-0.00122222,506.579
43.8538,-0.00122222,506.422
44.427,-0.00122222,506.309
45,-0.00122222,506.24
45.573,-0.00122222,505.576
46.1462,-0.00122222,505.597
46.7199,-0.00122222,505.668
47.2943,-0.00122222,505.792
47.8696,-0.00122222,506.559
48.4461,-0.00122222,506.763
49.0239,-0.00122222,507.019
49.6034,-0.00122222,507.33
50.1849,-0.00122222,507.699
50.7685,-0.00122222,508.13
51.3545,-0.00122222,508.627
51.9433,-0.00122222,509.194
52.535,-0.00122222,509.835
53.1301,-0.00122222,510.556
53.7288,-0.00122222,511.358
54.3315,-0.00122222,512.248
54.9384,-0.00122222,513.228
55.5501,-0.00122222,514.302
56.1668,-0.00122222,515.474
56.7891,-0.00122222,516.745
33.2109,-0.00127778,516.847
33.8332,-0.00127778,515.421
34.4499,-0.00127778,514.092
35.0616,-0.00127778,512.86
35.6685,-0.00127778,511.723
36.2712,-0.00127778,510.677
36.8699,-0.00127778,509.72
37.465,-0.00127778,508.848
38.0567,-0.00127778,508.057
38.6455,-0.00127778,507.345
39.2315,-0.00127778,506.707
39.8151,-0.00127778,506.139
40.3966,-0.00127778,505.638
40.9761,-0.00127778,505.201
41.5539,-0.00127778,504.822
42.1304,-0.00127778,504.501
42.7057,-0.00127778,504.233
43.2801,-0.00127778,504.017
43.8538,-0.00127778,503.85
44.427,-0.00127778,503.731
45,-0.00127778,503.658
45.573,-0.00127778,503.632
46.1462,-0.00127778,503.653
46.7199,-0.00127778,503.72
47.2943,-0.00127778,503.835
47.8696,-0.00127778,504
48.4461,-0.00127778,504.216
49.0239,-0.00127778,504.487
49.6034,-0.00127778,504.814
50.1849,-0.00127778,505.202
50.7685,-0.00127778,505.654
51.3545,-0.00127778,506.174
51.9433,-0.00127778,506.765
52.535,-0.00127778,507.432
53.1301,-0.00127778,508.178
53.7288,-0.00127778,509.008
54.3315,-0.00127778,509.925
54.9384,-0.00127778,510.933
55.5501,-0.00127778,512.036
56.1668,-0.00127778,513.236
56.7891,-0.00127778,514.536
33.2109,-0.00133333,515.018
33.8332,-0.00133333,513.573
34.4499,-0.00133333,512.226
35.0616,-0.00133333,510.975
35.6685,-0.00133333,509.819
36.2712,-0.00133333,508.755
36.8699,-0.00133333,507.779
