theta23,dm31,chi2
49.6034,0.00122222,512.383
50.1849,0.00122222,512.855
50.7685,0.00122222,513.394
51.3545,0.00122222,514.002
51.9433,0.00122222,514.683
52.535,0.00122222,515.44
53.1301,0.00122222,516.275
53.7288,0.00122222,517.192
54.3315,0.00122222,518.193
54.9384,0.00122222,519.281
55.5501,0.00122222,520.459
56.1668,0.00122222,521.729
56.7891,0.00122222,523.092
33.2109,0.00127778,520.257
33.8332,0.00127778,518.958
34.4499,0.00127778,517.76
35.0616,0.00127778,516.659
35.6685,0.00127778,515.332
36.2712,0.00127778,514.34
36.8699,0.00127778,513.433
37.465,0.00127778,512.606
38.0567,0.00127778,511.858
38.6455,0.00127778,511.184
39.2315,0.00127778,510.581
39.8151,0.00127778,510.046
40.3966,0.00127778,509.576
40.9761,0.00127778,509.168
41.5539,0.00127778,508.819
42.1304,0.00127778,508.528
42.7057,0.00127778,508.292
43.2801,0.00127778,508.109
43.8538,0.00127778,507.979
44.427,0.00127778,507.9
45,0.00127778,507.872
45.573,0.00127778,507.894
46.1462,0.00127778,507.968
46.7199,0.00127778,508.093
47.2943,0.00127778,508.272
47.8696,0.00127778,508.506
48.4461,0.00127778,508.796
49.0239,0.00127778,509.144
49.6034,0.00127778,509.554
50.1849,0.00127778,510.029
50.7685,0.00127778,510.57
51.3545,0.00127778,511.181
51.9433,0.00127778,511.866
52.535,0.00127778,512.627
53.1301,0.00127778,513.468
53.7288,0.00127778,514.392
54.3315,0.00127778,515.402
54.9384,0.00127778,516.501
55.5501,0.00127778,518.004
56.1668,0.00127778,519.22
56.7891,0.00127778,520.535
33.2109,0.00133333,517.752
33.8332,0.00133333,516.409
34.4499,0.00133333,515.166
35.0616,0.00133333,514.022
35.6685,0.00133333,512.973
36.2712,0.00133333,512.015
36.8699,0.00133333,511.146
37.465,0.00133333,510.36
38.0567,0.00133333,509.656
38.6455,0.00133333,509.027
39.2315,0.00133333,508.47
39.8151,0.00133333,507.98
40.3966,0.00133333,507.555
40.9761,0.00133333,507.189
41.5539,0.00133333,506.88
42.1304,0.00133333,506.624
42.7057,0.00133333,506.419
43.2801,0.00133333,506.261
43.8538,0.00133333,506.151
44.427,0.00133333,506.085
45,0.00133333,505.383
45.573,0.00133333,505.403
46.1462,0.00133333,505.475
46.7199,0.00133333,506.266
47.2943,0.00133333,506.425
47.8696,0.00133333,506.633
48.4461,0.00133333,506.893
49.0239,0.00133333,507.207
49.6034,0.00133333,507.059
50.1849,0.00133333,508.01
50.7685,0.00133333,508.507
51.3545,0.00133333,509.072
51.9433,0.00133333,509.71
52.535,0.00133333,510.425
53.1301,0.00133333,511.221
53.7288,0.00133333,512.102
54.3315,0.00133333,513.071
54.9384,0.00133333,514.131
55.5501,0.00133333,515.287
56.1668,0.00133333,516.54
56.7891,0.00133333,517.893
33.2109,0.00138889,515.638
33.8332,0.00138889,514.262
34.4499,0.00138889,512.988
35.0616,0.00138889,511.811
35.6685,0.00138889,510.73
36.2712,0.00138889,509.741
36.8699,0.00138889,508.841
37.465,0.00138889,508.026
38.0567,0.00138889,507.291
38.6455,0.00138889,506.634
39.2315,0.00138889,506.05
39.8151,0.00138889,505.535
40.3966,0.00138889,505.086
40.9761,0.00138889,504.699
41.5539,0.00138889,504.37
42.1304,0.00138889,504.096
42.7057,0.00138889,503.876
43.2801,0.00138889,503.706
43.8538,0.00138889,503.586
44.427,0.00138889,503.513
45,0.00138889,503.487
45.573,0.00138889,503.508
46.1462,0.00138889,503.576
46.7199,0.00138889,503.692
47.2943,0.00138889,503.857
47.8696,0.00138889,504.074
48.4461,0.00138889,504.344
49.0239,0.00138889,504.671
49.6034,0.00138889,505.057
50.1849,0.00138889,505.506
50.7685,0.00138889,506.021
51.3545,0.00138889,506.606
51.9433,0.00138889,507.265
52.535,0.00138889,508.002
53.1301,0.00138889,508.821
53.7288,0.00138889,509.725
54.3315,0.00138889,510.718
54.9384,0.00138889,511.804
55.5501,0.00138889,512.985
56.1668,0.00138889,514.264
56.7891,0.00138889,515.643
33.2109,0.00144444,513.864
33.8332,0.00144444,512.468
34.4499,0.00144444,511.172
35.0616,0.00144444,509.973
35.6685,0.00144444,508.871
36.2712,0.00144444,507.86
36.8699,0.00144444,506.938
37.465,0.00144444,506.101
38.0567,0.00144444,505.346
38.6455,0.00144444,504.669
39.2315,0.00144444,504.065
39.8151,0.00144444,503.532
40.3966,0.00144444,503.065
40.9761,0.00144444,502.661
41.5539,0.00144444,502.318
42.1304,0.00144444,502.031
42.7057,0.00144444,501.799
43.2801,0.00144444,501.62
43.8538,0.00144444,501.491
